ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0031175,neuron projection development,45/742,98/1817,0.459183673,1.124443039,1.051965142,0.171773711,0.545443646,0.488252221,Q9NZI8/O75312/P21333/P09936/P35221/P33176/O43306/O14641/Q9Y263/P08670/Q04917/Q9H4M9/Q13153/Q13439/Q02790/P46940/P50552/Q13620/Q96N67/P29373/O43847/P07196/Q99986/P63261/P16949/P27816/O43175/Q9P0L0/Q13492/P60953/P46109/P50570/Q9H2U1/O60271/P31150/P06280/A0AVT1/Q14247/P46821/Q08209/Q9UJU6/O60828/Q8WX93/Q06787/Q13177,45
BP,GO:0003002,regionalization,7/742,12/1817,0.583333333,1.428459119,1.236850057,0.172618141,0.545443646,0.488252221,Q9UK61/O14641/P78527/Q10567/Q12849/P46109/P25490,7
BP,GO:0007040,lysosome organization,7/742,12/1817,0.583333333,1.428459119,1.236850057,0.172618141,0.545443646,0.488252221,P11142/P10253/Q96QK1/Q6IAA8/Q15904/P51149/O14773,7
BP,GO:0014823,response to activity,7/742,12/1817,0.583333333,1.428459119,1.236850057,0.172618141,0.545443646,0.488252221,P48506/P11142/P30566/P04040/P08648/P25705/Q96K19,7
BP,GO:0016331,morphogenesis of embryonic epithelium,7/742,12/1817,0.583333333,1.428459119,1.236850057,0.172618141,0.545443646,0.488252221,O14641/P50552/P07737/Q12849/P62081/Q8IZ21/P11586,7
BP,GO:0018208,peptidyl-proline modification,7/742,12/1817,0.583333333,1.428459119,1.236850057,0.172618141,0.545443646,0.488252221,Q8WUA2/Q6UX04/P07237/P62937/Q8N543/P49792/Q9Y3C6,7
BP,GO:0035148,tube formation,7/742,12/1817,0.583333333,1.428459119,1.236850057,0.172618141,0.545443646,0.488252221,P63104/O14641/P50552/P07737/P62081/Q8IZ21/P11586,7
BP,GO:0043270,positive regulation of monoatomic ion transport,7/742,12/1817,0.583333333,1.428459119,1.236850057,0.172618141,0.545443646,0.488252221,P21333/O43707/P33176/Q99996/P30626/Q08209/P11413,7
BP,GO:0043502,regulation of muscle adaptation,7/742,12/1817,0.583333333,1.428459119,1.236850057,0.172618141,0.545443646,0.488252221,P58546/P02545/O76003/P09874/P25490/Q08209/P11413,7
BP,GO:0043547,positive regulation of GTPase activity,7/742,12/1817,0.583333333,1.428459119,1.236850057,0.172618141,0.545443646,0.488252221,P63244/O14641/P22033/Q96N67/Q9Y5X1/P46060/Q96AC1,7
BP,GO:0043954,cellular component maintenance,7/742,12/1817,0.583333333,1.428459119,1.236850057,0.172618141,0.545443646,0.488252221,P11142/Q14203/Q96QK1/Q96AC1/Q9BRK5/Q14247/Q8IUD2,7
BP,GO:0048525,negative regulation of viral process,7/742,12/1817,0.583333333,1.428459119,1.236850057,0.172618141,0.545443646,0.488252221,Q9UK61/Q7Z434/O94992/P62937/Q13263/Q99549/Q12906,7
BP,GO:0055088,lipid homeostasis,7/742,12/1817,0.583333333,1.428459119,1.236850057,0.172618141,0.545443646,0.488252221,O00571/Q9H4M9/P22415/O95486/Q6IAA8/Q9UHB6/Q6YN16,7
BP,GO:0071248,cellular response to metal ion,7/742,12/1817,0.583333333,1.428459119,1.236850057,0.172618141,0.545443646,0.488252221,P11142/P27797/P68133/P14625/P46940/Q9Y696/P09874,7
BP,GO:0071709,membrane assembly,7/742,12/1817,0.583333333,1.428459119,1.236850057,0.172618141,0.545443646,0.488252221,Q01082/P63279/P19022/P46940/Q9UNZ2/Q12846/Q86XL3,7
BP,GO:0080171,lytic vacuole organization,7/742,12/1817,0.583333333,1.428459119,1.236850057,0.172618141,0.545443646,0.488252221,P11142/P10253/Q96QK1/Q6IAA8/Q15904/P51149/O14773,7
BP,GO:0009914,hormone transport,13/742,25/1817,0.52,1.273369272,1.143158213,0.173651242,0.545443646,0.488252221,Q13148/P63167/O43768/P30626/P82094/Q15907/Q9BWF3/O95219/P08195/Q08209/Q12904/Q12846/Q6ZWJ1,13
BP,GO:0016441,post-transcriptional gene silencing,13/742,25/1817,0.52,1.273369272,1.143158213,0.173651242,0.545443646,0.488252221,Q9UPQ9/Q04637/P62826/Q15717/Q13546/Q53F19/Q6Y7W6/Q92879/Q9BWF3/Q14671/O75844/A5YKK6/Q06787,13
BP,GO:0043408,regulation of MAPK cascade,25/742,52/1817,0.480769231,1.177301472,1.077450436,0.17474822,0.545443646,0.488252221,P09936/P09211/P63104/Q13546/O14641/Q14152/P37198/Q06830/O60883/Q13153/P35232/P19022/P46940/Q6IAA8/Q92905/Q96AC1/P62937/P78318/P60953/Q02952/P46109/O60271/O14744/Q9UN36/Q13177,25
BP,GO:0006897,endocytosis,35/742,75/1817,0.466666667,1.142767296,1.048795781,0.176193291,0.545443646,0.488252221,P25098/P63244/P11142/P27797/Q14677/Q9Y6I3/Q14C86/Q9UBC2/P11717/Q9H4M9/Q13153/P27824/P63010/P35579/P61978/P30533/Q9Y5X1/P63261/O43747/Q9NT62/Q7Z3T8/Q13492/P60953/P51149/P02786/P50570/Q00610/P09497/Q6P3W7/Q14247/Q08209/Q8NBU5/Q9UJU6/Q9Y5X3/Q06787,35
BP,GO:0043069,negative regulation of programmed cell death,62/742,138/1817,0.449275362,1.100179695,1.016832786,0.176794663,0.545443646,0.488252221,P06733/Q99966/O75312/P21333/P10809/O00571/P63244/P48506/O94874/P11142/Q8N163/P09211/P35221/P63104/Q13546/P55957/P61247/P14625/P37198/P38646/P16989/P26358/P02545/Q8NBS9/P04040/P08648/P78527/O00273/Q9UQ80/Q9NR09/Q04760/P61978/P06748/P11021/Q16531/P52565/Q12931/P82094/Q92905/P07196/P20810/P46379/P62937/P78318/Q9Y4L1/Q9ULF5/P49959/Q15233/P61289/P02786/O95817/Q9Y6Y0/Q16595/Q14790/P62195/Q14247/P51812/Q9UEE9/Q86XL3/P43246/P18583/Q13177,62
BP,GO:0051235,maintenance of location,21/742,43/1817,0.488372093,1.195919263,1.079916559,0.17763606,0.545443646,0.488252221,P21333/P27797/P80303/P10253/Q8IWX8/P14625/Q9H4M9/Q99996/Q01970/P11021/P30626/P63208/P08133/P46060/O60664/P62258/Q00839/P06280/Q96HE7/Q9UNN5/Q13438,21
BP,GO:0098771,inorganic ion homeostasis,21/742,43/1817,0.488372093,1.195919263,1.079916559,0.17763606,0.545443646,0.488252221,P21333/P05023/P27797/Q8IWX8/P14625/Q16891/P21964/Q01970/Q8N668/P30626/P08133/Q9UJZ1/O76003/Q15904/P62258/Q13492/Q9ULF5/P02786/O00244/Q16595/Q96HE7,21
BP,GO:0048609,multicellular organismal reproductive process,38/742,82/1817,0.463414634,1.13480376,1.037563861,0.177804772,0.545443646,0.488252221,Q9P0K7/O00571/P09936/P11142/P62826/P27797/P63167/Q9BQA1/P16989/P11717/Q92879/Q14126/P12004/Q9Y277/Q16531/P62877/P82094/Q9H0D6/Q9P0K8/P46379/Q14671/Q13263/Q9Y5A9/Q96PU8/P09874/Q15003/Q14320/Q15102/P46109/P09661/Q9H2U1/P25490/P68402/P54727/P49711/O43432/O95394/P43246,38
BP,GO:0043269,regulation of monoatomic ion transport,17/742,34/1817,0.5,1.224393531,1.097058438,0.17810727,0.545443646,0.488252221,P21333/P05023/P27348/O43707/P33176/Q13546/Q04917/Q99996/Q14BN4/Q8N668/P30626/Q15907/Q09666/P62258/Q08209/P11413/Q06787,17
BP,GO:0050804,modulation of chemical synaptic transmission,17/742,34/1817,0.5,1.224393531,1.097058438,0.17810727,0.545443646,0.488252221,P35080/P33176/Q4J6C6/Q04917/Q96QK1/P07196/Q96A49/P07737/Q8NEJ9/O14908/Q02952/P46821/Q08209/Q8NBU5/Q12846/Q06787/P38919,17
BP,GO:0048878,chemical homeostasis,44/742,96/1817,0.458333333,1.122360737,1.023158478,0.17940844,0.545443646,0.488252221,P21333/O00571/P63244/P48506/P05023/P27797/P09211/P63167/Q8IWX8/O43306/P14625/Q16891/P21964/Q9H4M9/P22415/Q01970/Q8N668/P30626/O95486/Q6IAA8/P08133/Q15907/Q9Y696/Q9UJZ1/O76003/P06576/Q9BWF3/Q15904/Q9UHB6/P62258/Q13492/Q9ULF5/P51149/Q6YN16/P02786/O00244/Q16595/P06737/Q96HE7/O94925/Q08209/Q12846/Q8NF37/Q6ZWJ1,44
BP,GO:0001841,neural tube formation,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,O14641/P50552/P07737/P62081/Q8IZ21/P11586,6
BP,GO:0001843,neural tube closure,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,O14641/P50552/P07737/P62081/Q8IZ21/P11586,6
BP,GO:0009066,aspartate family amino acid metabolic process,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,O00469/P00505/P52788/O43175/P30520/P11586,6
BP,GO:0010927,cellular component assembly involved in morphogenesis,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,P68133/P82094/P63261/Q15149/O75083/Q13045,6
BP,GO:0014020,primary neural tube formation,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,O14641/P50552/P07737/P62081/Q8IZ21/P11586,6
BP,GO:0030198,extracellular matrix organization,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,Q16658/Q96AY3/O00469/P13674/P11047/Q96HE7,6
BP,GO:0030838,positive regulation of actin filament polymerization,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,P35080/Q9H3Q1/P50552/Q9Y5X1/P07737/Q14247,6
BP,GO:0032989,cellular anatomical entity morphogenesis,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,P68133/P82094/P63261/Q15149/O75083/Q13045,6
BP,GO:0042026,protein refolding,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,P07900/P10809/P11142/P38646/O60884/P11021,6
BP,GO:0043062,extracellular structure organization,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,Q16658/Q96AY3/O00469/P13674/P11047/Q96HE7,6
BP,GO:0045229,external encapsulating structure organization,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,Q16658/Q96AY3/O00469/P13674/P11047/Q96HE7,6
BP,GO:0048002,antigen processing and presentation of peptide antigen,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,P10321/P07339/P27797/P30101/P50570/P04440,6
BP,GO:0060606,tube closure,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,O14641/P50552/P07737/P62081/Q8IZ21/P11586,6
BP,GO:0061387,regulation of extent of cell growth,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,Q13439/P29373/P50570/P31150/Q14247/P46821,6
BP,GO:0070266,necroptotic process,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,Q13546/P16989/P09874/Q14790/P06737/O95831,6
BP,GO:0071901,negative regulation of protein serine/threonine kinase activity,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,P09936/P09211/P37198/O95373/O00410/Q9UHD1,6
BP,GO:0086003,cardiac muscle cell contraction,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,P21333/P05023/Q99996/Q14126/P15924/P30626,6
BP,GO:0097553,calcium ion transmembrane import into cytosol,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,P21333/Q8IWX8/Q01970/P30626/Q96HE7/Q08209,6
BP,GO:1904064,positive regulation of cation transmembrane transport,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,P21333/O43707/Q99996/P30626/Q08209/P11413,6
BP,GO:1904872,regulation of telomerase RNA localization to Cajal body,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,P50990/Q99832/P49368/P17987/P78371/P48643,6
BP,GO:1905168,positive regulation of double-strand break repair via homologous recombination,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,Q7Z4V5/Q9Y230/P35637/O60934/P09874/O96019,6
BP,GO:1990173,protein localization to nucleoplasm,6/742,10/1817,0.6,1.469272237,1.235951497,0.179925566,0.545443646,0.488252221,P50990/Q99832/P49368/P17987/P78371/P48643,6
BP,GO:0048699,generation of neurons,64/742,143/1817,0.447552448,1.095960643,0.992976761,0.182626999,0.552762538,0.494803704,Q9NZI8/P07900/O75312/P21333/Q04637/P09936/P27797/P35221/P63104/P33176/O60934/O43306/O14641/P58546/Q9Y263/O60883/P08670/Q04917/Q9H4M9/Q13153/Q6Y7W6/Q13439/Q02790/P46940/P50552/Q13620/Q96N67/P29373/O43847/P50542/Q9Y3F4/Q9H0D6/P07196/Q99986/Q9P287/P63261/P16949/P27816/O43175/Q9P0L0/P62937/P61201/P62258/Q13492/P60953/O95197/P46109/Q9Y6X8/P50570/Q9H2U1/O60271/P31150/Q6P3W7/P06280/A0AVT1/Q14247/P46821/Q08209/Q9UJU6/O60828/O95831/Q8WX93/Q06787/Q13177,64
BP,GO:0033673,negative regulation of kinase activity,12/742,23/1817,0.52173913,1.277628032,1.112939756,0.183599809,0.552930561,0.49495411,P09936/P09211/P37198/P06748/Q9BRG1/O95373/P62937/O00410/Q00839/P23381/Q9UHD1/Q13177,12
BP,GO:0042113,B cell activation,12/742,23/1817,0.52173913,1.277628032,1.112939756,0.183599809,0.552930561,0.49495411,P17812/P10809/O60934/P35232/P78527/Q5RKV6/P78318/Q9ULF5/P02786/P25490/Q14790/P43246,12
BP,GO:0046879,hormone secretion,12/742,23/1817,0.52173913,1.277628032,1.112939756,0.183599809,0.552930561,0.49495411,Q13148/P63167/O43768/P30626/P82094/Q15907/Q9BWF3/O95219/Q08209/Q12904/Q12846/Q6ZWJ1,12
BP,GO:0030182,neuron differentiation,61/742,136/1817,0.448529412,1.09835302,0.990441757,0.183831459,0.552930561,0.49495411,Q9NZI8/O75312/P21333/Q04637/P09936/P27797/P35221/P63104/P33176/O43306/O14641/P58546/Q9Y263/O60883/P08670/Q04917/Q9H4M9/Q13153/Q6Y7W6/Q13439/Q02790/P46940/P50552/Q13620/Q96N67/P29373/O43847/P50542/Q9Y3F4/Q9H0D6/P07196/Q99986/Q9P287/P63261/P16949/P27816/O43175/Q9P0L0/P62937/P61201/Q13492/P60953/O95197/P46109/Q9Y6X8/P50570/Q9H2U1/O60271/P31150/Q6P3W7/P06280/A0AVT1/Q14247/P46821/Q08209/Q9UJU6/O60828/O95831/Q8WX93/Q06787/Q13177,61
CC,GO:0000932,P-body,14/762,28/1854,0.5,1.216535433,0.964187458,0.219275554,0.554061568,0.476735412,Q9UPQ9/Q9NZI8/P67809/Q15717/Q9Y2V2/Q9NPI6/P17980/P60900/Q14671/Q9Y5A9/Q96F86/Q6P2E9/O75534/A5YKK6,14
CC,GO:0001726,ruffle,14/762,28/1854,0.5,1.216535433,0.964187458,0.219275554,0.554061568,0.476735412,Q16658/Q9Y490/Q13153/P08648/P46940/P35579/Q9Y448/Q4VCS5/Q9Y5X1/Q9UHB6/Q14247/Q9UJU6/Q9Y5X3/Q8WX93,14
CC,GO:0098827,endoplasmic reticulum subcompartment,58/762,130/1854,0.446153846,1.085523925,0.844490066,0.225373022,0.554061568,0.476735412,P10321/P55072/P62273/P09936/Q9Y3I0/O94874/P37268/P27797/Q8IWX8/Q8TCS8/Q5JRA6/P14625/P22314/O00469/P27824/P29401/P52292/P43307/Q8WVM8/Q14BN4/P49069/Q9BSJ8/Q14974/Q9Y678/P11021/P30626/O95486/P30101/Q13445/Q96KC8/Q9Y696/Q9P2E9/P30519/O15027/Q15904/Q9P0L0/P48739/P60953/Q86UP2/Q9Y3B3/O75844/O95197/P50402/Q9BTV4/P48444/P16435/Q9H0V9/P04440/Q96HE7/Q15084/P60468/Q9UNN5/Q13438/Q86XL3/Q8NF37/Q96K19/P61019/Q9NR31,58
CC,GO:0005795,Golgi stack,9/762,17/1854,0.529411765,1.288096341,0.996578471,0.22539488,0.554061568,0.476735412,Q99996/O75674/Q8WVM8/Q99986/Q9BWQ6/Q8TBA6/Q14789/Q9UNZ2/Q9NR31,9
CC,GO:0008180,COP9 signalosome,9/762,17/1854,0.529411765,1.288096341,0.996578471,0.22539488,0.554061568,0.476735412,P63167/P25705/P35579/Q96N67/P11021/Q92905/Q4VCS5/Q9UBW8/P61201,9
CC,GO:0055038,recycling endosome membrane,9/762,17/1854,0.529411765,1.288096341,0.996578471,0.22539488,0.554061568,0.476735412,P10321/Q86Y82/Q9H4M9/Q9Y6G9/P30101/Q4V328/Q15907/Q92597/P02786,9
CC,GO:0014069,postsynaptic density,21/762,44/1854,0.477272727,1.161238368,0.903981037,0.225879338,0.554061568,0.476735412,Q14103/Q01082/P11142/P05023/P60228/Q14152/Q96QK1/P19022/Q9BTT0/Q99996/Q4VCS5/P05388/Q9UEY8/Q15366/O95197/P50570/P46821/O60716/Q9UJU6/Q06787/Q13177,21
CC,GO:0099081,supramolecular polymer,66/762,149/1854,0.44295302,1.077736088,0.826337576,0.229177474,0.554061568,0.476735412,P06733/P17812/Q01082/P21333/O75369/P20700/P11142/O43707/P68133/P63167/P50990/Q99832/P33176/Q05682/P49368/Q14203/Q14152/P02545/P08670/P07197/O00151/Q13153/Q9H307/Q02790/P17987/Q03252/P78371/P13797/P46940/Q9Y6G9/P55081/P35579/Q14BN4/Q9H900/P15924/P30626/O43670/Q9Y448/Q4VCS5/P07196/P60900/P63261/P16949/O76003/P27816/Q07866/Q09666/Q96AC1/P48643/Q92597/P50402/P50570/O95817/Q00839/Q00610/Q15149/Q5M775/Q14247/P46821/Q08209/Q8WX93/Q13561/P42704/P07437/Q14204/P35580,66
CC,GO:0099512,supramolecular fiber,66/762,149/1854,0.44295302,1.077736088,0.826337576,0.229177474,0.554061568,0.476735412,P06733/P17812/Q01082/P21333/O75369/P20700/P11142/O43707/P68133/P63167/P50990/Q99832/P33176/Q05682/P49368/Q14203/Q14152/P02545/P08670/P07197/O00151/Q13153/Q9H307/Q02790/P17987/Q03252/P78371/P13797/P46940/Q9Y6G9/P55081/P35579/Q14BN4/Q9H900/P15924/P30626/O43670/Q9Y448/Q4VCS5/P07196/P60900/P63261/P16949/O76003/P27816/Q07866/Q09666/Q96AC1/P48643/Q92597/P50402/P50570/O95817/Q00839/Q00610/Q15149/Q5M775/Q14247/P46821/Q08209/Q8WX93/Q13561/P42704/P07437/Q14204/P35580,66
CC,GO:0005758,mitochondrial intermembrane space,13/762,26/1854,0.5,1.216535433,0.928605876,0.231896555,0.554061568,0.476735412,P28331/P20674/Q96AY3/Q8TCS8/Q16891/Q9BYT8/Q4VC31/Q12931/Q9UJZ1/P56277/Q9NR28/Q9Y5L4/O95831,13
CC,GO:0098858,actin-based cell projection,13/762,26/1854,0.5,1.216535433,0.928605876,0.231896555,0.554061568,0.476735412,Q9NZI8/Q16658/P68133/O43306/P50552/P61086/Q9Y696/Q00013/Q8NEJ9/P60953/Q12846/Q06787/Q14204,13
BP,GO:0048468,cell development,112/742,257/1817,0.435797665,1.067175685,0.96532156,0.1846832,0.554625834,0.496471629,Q9NZI8/Q13144/O75312/P21333/O75369/P62805/P09936/O94874/P04818/P62826/Q9GZS3/O43707/P68133/P63167/P35221/P13010/P63104/P33176/Q13546/Q9BQA1/O43306/O14641/Q92785/Q9Y520/P38646/Q13573/P16989/P13639/Q9Y263/P02545/O60883/P08670/Q04917/P55209/Q9H4M9/Q13153/Q13439/Q02790/P19022/P78527/Q92879/P46940/P50552/Q04760/P35579/Q13620/Q9Y277/Q96N67/P29373/Q13951/Q16531/O43809/P82094/O43847/P50542/P07196/Q99986/Q9Y696/P63261/P16949/Q13428/P27816/O43175/P49327/Q15904/Q9P0L0/Q13263/Q9Y5A9/Q13492/P60953/Q92597/Q96PU8/P09874/O96019/O75844/O43290/Q13310/P12956/P02786/P46109/P50570/Q00839/Q96T58/Q9H2U1/O60271/P31150/P25490/Q6P3W7/Q14790/P06280/Q15149/A0AVT1/Q14247/P46821/Q8TAQ2/Q08209/O14744/Q9UJU6/O60828/Q8IZ21/O75083/P49711/P11413/Q8WX93/O43432/Q9BXP5/O95394/Q06787/P43246/Q92922/Q13045/Q13177,112
BP,GO:0006811,monoatomic ion transport,43/742,94/1817,0.457446809,1.120189826,0.993904457,0.187381253,0.561851887,0.502940007,P28331/P21333/P05023/P27348/P20674/O43707/Q8IWX8/P33176/Q13546/P38646/Q04917/Q02790/Q99996/P25705/Q14BN4/Q01970/Q9Y277/Q8N668/P14854/P30626/O75251/P08133/Q15907/O00299/Q9Y696/P06576/Q15904/Q09666/P18859/P62258/Q9ULF5/O75844/P02786/P50570/O43181/Q00610/O00244/Q16595/P08195/Q96HE7/Q08209/P11413/Q06787,43
BP,GO:0032869,cellular response to insulin stimulus,16/742,32/1817,0.5,1.224393531,1.0637066,0.188198062,0.563423435,0.504346774,P19338/P07339/P48506/P14618/P22415/P78527/P62877/O14654/Q96A49/Q9BWF3/P09874/P07814/P08047/Q9Y5X3/Q6ZWJ1/Q92922,16
CC,GO:0005911,cell-cell junction,36/762,79/1854,0.455696203,1.108741154,0.824920662,0.238498542,0.563595694,0.484938933,P21333/Q16658/P35221/Q9Y490/P22314/Q9H3Q1/P16989/Q04917/O00151/Q13153/Q9H307/P19022/P08648/P46940/P50552/P35579/Q14126/P15924/P61158/Q4VCS5/Q9Y696/P63261/Q8TCZ2/Q8WUM4/Q00013/Q09666/Q9P0L0/Q96AC1/Q9UEY8/P60953/Q92597/Q16513/Q08209/O60716/O75083/Q13177,36
CC,GO:0043202,lysosomal lumen,8/762,15/1854,0.533333333,1.297637795,0.966599842,0.23905323,0.563595694,0.484938933,P07900/P07339/P11142/P10253/Q8NBS9/P46976/P06280/O14773,8
CC,GO:0098984,neuron to neuron synapse,23/762,49/1854,0.469387755,1.142053672,0.841619476,0.242443653,0.567702615,0.488472682,Q14103/Q01082/P11142/P05023/P60228/P63104/Q14152/Q04917/Q96QK1/P19022/Q9BTT0/Q99996/Q4VCS5/P05388/Q9UEY8/Q15366/O95197/P50570/P46821/O60716/Q9UJU6/Q06787/Q13177,23
CC,GO:0098588,bounding membrane of organelle,107/762,247/1854,0.433198381,1.054002359,0.761302308,0.243984551,0.567702615,0.488472682,P10321/P06733/Q16563/P25098/P62273/P19338/P07339/Q9Y6Y8/O94874/P11142/P27797/Q9Y371/Q14677/P63167/P10253/Q8IWX8/Q9Y6I3/P33176/Q13546/P55957/P22314/P38646/Q16891/Q7Z434/O00469/O60883/Q86Y82/P11717/Q9H4M9/Q13439/P27824/P04040/Q96QK1/P52292/Q9BTT0/P46940/Q9Y6G9/P63010/O75674/Q8WVM8/Q9Y678/Q9Y277/Q7Z6Z7/Q8N668/P15924/P30626/Q9BRG1/O95486/P30101/Q13445/P82094/Q6IAA8/P08133/Q4V328/Q15907/P50542/Q10567/Q5VIR6/O43747/P30519/Q9H019/O15027/O60664/O95219/Q15904/Q09666/Q96SU4/Q9P0L0/Q7Z3T8/P48739/P12268/P60953/Q92597/P51149/Q9Y3B3/Q9BWQ6/O75844/O95197/P50402/P48444/P02786/P50570/P55084/Q00610/P09497/O60271/Q9H0V9/Q6P3W7/Q14790/Q15149/P08195/P04440/A5YKK6/Q8TBA6/Q8NBU5/Q14789/Q9UJU6/P60468/P53367/Q9Y5X3/Q12846/Q8IUD2/Q8NF37/P42704/P61019/O00116/Q9NR31,107
CC,GO:0030666,endocytic vesicle membrane,12/762,24/1854,0.5,1.216535433,0.891688006,0.245587495,0.567721742,0.488489139,P10321/P27797/P11717/Q9Y6G9/P63010/Q15907/P51149/P02786/P50570/Q00610/P04440/Q12846,12
BP,GO:0048812,neuron projection morphogenesis,30/742,64/1817,0.46875,1.147868935,1.000303106,0.191412957,0.572004541,0.512028125,Q9NZI8/P09936/P33176/O14641/Q9Y263/Q04917/Q13153/Q13439/P46940/P50552/Q96N67/P29373/O43847/P07196/P63261/P16949/Q13492/P60953/P50570/Q9H2U1/O60271/P31150/P06280/Q14247/P46821/Q08209/Q9UJU6/O60828/Q8WX93/Q13177,30
BP,GO:0010648,negative regulation of cell communication,71/742,160/1817,0.44375,1.086649259,0.953277256,0.192070893,0.572004541,0.512028125,P06733/P55072/P25098/Q99966/Q07021/O00571/P09936/P19338/P63244/P48506/O94874/P11142/Q9Y230/P27797/Q8N163/P09211/P35221/P63104/Q13546/P55957/Q14152/P37198/P16989/Q7Z434/P02545/O60883/Q6Y7W6/P35232/P19022/P78527/Q9NR09/Q14BN4/P11021/Q9BRG1/O95071/Q12931/P62877/P30533/Q93009/Q9Y3F4/P16949/Q14166/P62937/P78318/P62258/Q9Y5A9/Q9Y4L1/Q15366/Q96G74/P09874/P51149/Q15233/P50402/P61289/Q9Y6Y0/Q16595/Q6P3W7/Q14790/Q14247/A5YKK6/Q08209/Q96C57/O60716/Q8NBU5/Q14694/Q8IZ21/Q9Y5X3/Q01804/Q9UN36/Q06787/Q9NR31,71
BP,GO:0023057,negative regulation of signaling,71/742,160/1817,0.44375,1.086649259,0.953277256,0.192070893,0.572004541,0.512028125,P06733/P55072/P25098/Q99966/Q07021/O00571/P09936/P19338/P63244/P48506/O94874/P11142/Q9Y230/P27797/Q8N163/P09211/P35221/P63104/Q13546/P55957/Q14152/P37198/P16989/Q7Z434/P02545/O60883/Q6Y7W6/P35232/P19022/P78527/Q9NR09/Q14BN4/P11021/Q9BRG1/O95071/Q12931/P62877/P30533/Q93009/Q9Y3F4/P16949/Q14166/P62937/P78318/P62258/Q9Y5A9/Q9Y4L1/Q15366/Q96G74/P09874/P51149/Q15233/P50402/P61289/Q9Y6Y0/Q16595/Q6P3W7/Q14790/Q14247/A5YKK6/Q08209/Q96C57/O60716/Q8NBU5/Q14694/Q8IZ21/Q9Y5X3/Q01804/Q9UN36/Q06787/Q9NR31,71
BP,GO:0009895,negative regulation of catabolic process,33/742,71/1817,0.464788732,1.138168634,0.98644338,0.193481248,0.572004541,0.512028125,Q14103/Q9NZI8/P21333/Q04637/Q13148/Q8N163/P11940/P67809/Q15717/Q14011/P35637/Q15393/P16989/Q96QK1/P35232/O00273/Q9Y5K5/Q8WVM8/P49069/Q93009/Q9H814/P46379/Q96PU8/O14908/O43765/P62081/Q00839/Q9H2U1/O75534/P46777/P42704/O60506/Q92922,33
BP,GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",11/742,21/1817,0.523809524,1.282697985,1.082268047,0.194332971,0.572004541,0.512028125,Q14103/Q9UPQ9/Q9NZI8/P11940/P67809/Q9NPI6/Q00839/Q9H2U1/O75534/A5YKK6/O60506,11
BP,GO:0006469,negative regulation of protein kinase activity,11/742,21/1817,0.523809524,1.282697985,1.082268047,0.194332971,0.572004541,0.512028125,P09936/P09211/P37198/P06748/Q9BRG1/O95373/P62937/O00410/P23381/Q9UHD1/Q13177,11
BP,GO:0009566,fertilization,11/742,21/1817,0.523809524,1.282697985,1.082268047,0.194332971,0.572004541,0.512028125,P50990/Q99832/Q14157/P49368/P16989/P17987/P78371/P35579/Q9Y696/P48643/P46109,11
BP,GO:0043281,regulation of cysteine-type endopeptidase activity involved in apoptotic process,11/742,21/1817,0.523809524,1.282697985,1.082268047,0.194332971,0.572004541,0.512028125,P55072/P10809/O00571/P07339/P63244/P61604/Q9NR28/P78318/Q96A26/O95831/Q13177,11
